MemTotal:         496816 kB
MemFree:          241864 kB
MemAvailable:     285444 kB
Buffers:           10920 kB
Cached:           149048 kB
SwapCached:            0 kB
Active:           159680 kB
Inactive:          75160 kB
Active(anon):     127644 kB
Inactive(anon):    59700 kB
Active(file):      32036 kB
Inactive(file):    15460 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         74888 kB
Mapped:            29936 kB
Shmem:            112472 kB
Slab:              12972 kB
SReclaimable:       7320 kB
SUnreclaim:         5652 kB
KernelStack:        1056 kB
PageTables:         1916 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248408 kB
Committed_AS:     395708 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
