MemTotal:         496816 kB
MemFree:          255716 kB
MemAvailable:     299248 kB
Buffers:           10920 kB
Cached:           140880 kB
SwapCached:            0 kB
Active:           148532 kB
Inactive:          72704 kB
Active(anon):     116508 kB
Inactive(anon):    57240 kB
Active(file):      32024 kB
Inactive(file):    15464 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         69452 kB
Mapped:            24044 kB
Shmem:            104312 kB
Slab:              12916 kB
SReclaimable:       7280 kB
SUnreclaim:         5636 kB
KernelStack:        1032 kB
PageTables:         1876 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248408 kB
Committed_AS:     373920 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
