MemTotal:         496816 kB
MemFree:          253012 kB
MemAvailable:     296540 kB
Buffers:           10920 kB
Cached:           140808 kB
SwapCached:            0 kB
Active:           152612 kB
Inactive:          71328 kB
Active(anon):     120588 kB
Inactive(anon):    55864 kB
Active(file):      32024 kB
Inactive(file):    15464 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         72228 kB
Mapped:            25364 kB
Shmem:            104240 kB
Slab:              12904 kB
SReclaimable:       7276 kB
SUnreclaim:         5628 kB
KernelStack:        1032 kB
PageTables:         1868 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248408 kB
Committed_AS:     378084 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
